事業所番号,求人番号,都道府県,職安管轄コード,産業分類コード,職業分類コード,職業細分類コード,受付番号,事業所名,事業所名フリガナ,郵便番号,所在地,事業内容,従業員数(全体),従業員数(就業場所),従業員数(男性),従業員数(女性),資本金(億円),職種,備考,休日日数,給与(円),賞与(基本給、円),賞与(平均、万円),交代制,鉄道路線,最寄駅,求人Ｍ,求人Ｆ,求人ＭＦ,就業場所,職種分類,応募先郵便番号,応募先,採用担当部署,採用担当者,採用担当TEL,採用担当FAX,前年度事業所紐づけ
2307-188507-2,23070ｰ318159,愛知県,2307,392,9,3,250088,株式会社　ピコ・ナレッジ,ピコ　ナレッジ,450-0003,名古屋市中村区名駅南１－１９－２９,総合情報処理サービス業,292,209,146,63,0.46,ITエンジニア（プログラマおよびシステム運用保守）,,123,185000,3.00,0.00,なし,JR東海道本線,名古屋,,,1,名古屋市中村区,"技能（システム、プログラマ）",450-0003,名古屋市中村区名駅南１－１９－２９,人材開発部,服部　功、樋爪　朋美,052-589-0122,052-586-7262,240121　株式会社　ピコ・ナレッジ　ＩＴエンジニア（プログラマおよびシステム運用保守）
2309-360546-4,23090-393959,愛知県,2309,311,73,2,250089,ビューテック　株式会社,ビューテック,471-8522,愛知県豊田市梅坪町9-30-3,自動車用ガラスの加工・組付及び各種自動車用内外装部品製造など,3200,743,595,148,55,（全国職）自動車、建築用のガラス製品等を作る仕事（知多事業所）,,121,175641,4.00,0.00,3交代,名鉄河和線,富貴,,,1,武豊町,"技能（機械、製造、技術）",471-8522,愛知県豊田市梅坪町9-30-3,労務課,大木　透,0565-31-5521,0565-33-5526,240097　ビューテック　株式会社　（全国職）自動車、建築用のガラス製品等を作る仕事（知多事業所）
2309-360546-4,23090-394859,愛知県,2309,311,73,2,250090,ビューテック　株式会社,ビューテック,471-8522,愛知県豊田市梅坪町9-30-3,自動車用ガラスの加工・組付及び各種自動車用内外装部品製造など,3200,743,595,148,55,（地域限定職）自動車、産業用のガラス製品等を作る仕事（知多事業所）,,121,175641,4.00,0.00,なし,名鉄河和線,知多武豊,,,1,武豊町,"技能（システム、プログラマ）",471-8522,愛知県豊田市梅坪町9-30-3,労務課,大木　透,0565-31-5521,0565-33-5526,240098　ビューテック　株式会社　（常昼勤／地域限定職）自動車、産業用ガラス製品等を作る仕事（知多事業所）
2309-360546-4,23090ｰ395059,愛知県,2309,311,73,2,250091,ビューテック　株式会社,ビューテック,471-8522,愛知県豊田市梅坪町9-30-3,自動車用ガラスの加工・組付及び各種自動車用内外装部品製造など,3200,743,595,148,55,（常昼勤／地域限定職）自動車、産業用のガラス製品等を作る仕事（知多事業所）,,121,175641,4.00,0.00,なし,名鉄河和線,知多武豊,,,1,武豊町,,471-8522,愛知県豊田市梅坪町9-30-3,労務課,大木　透,0565-31-5521,0565-33-5526,240098　ビューテック　株式会社　（常昼勤／地域限定職）自動車、産業用ガラス製品等を作る仕事（知多事業所）
3405-212-5,34050ｰ365459,広島県,3405,441,33,1,250092,福山通運　株式会社,フクヤマツウウン,721-8555,広島県福山市東深津4-20-1,貨物自動車運送事業等,11760,182,152,30,303,物流管理スタッフ（物流を総合的に管理をする事務職務。営業も行います。）中部3級地,,110,172000,0.00,80.00,なし,名鉄常滑線,聚楽園,,,1,豊川市、県外,"技能（検査・管理）",721-8555,広島県福山市東深津4-20-1,人事部人事課,小山・小野,0120-292-286,084-931-4865,240132　福山通運　株式会社　物流管理スタッフ（物流を総合的に管理をする事務職務、営業も行います。）中部3級地
3405-212-5,34050ｰ361359,広島県,3405,441,83,2,250093,福山通運　株式会社,フクヤマツウウン,721-8555,広島県福山市東深津4-20-1,貨物自動車運送事業等,11760,182,152,30,303,集配運転者（荷物の集荷・配達ドライバー）【中部地区・3級地】,,110,173000,0.00,80.00,なし,その他（県外）,東福山,,,1,春日井市、東海市、岡崎市,その他,721-8555,広島県福山市東深津4-20-1,人事部人事課,小山・小野,0120-292-286,084-931-4865,240133　福山通運　株式会社　集配運転者（荷物の集荷・配達ドライバー）【中部地区・3級地】
3405-212-5,34050-382759,広島県,3405,441,95,2,250094,福山通運　株式会社,フクヤマツウウン,721-8555,広島県福山市東深津4-20-1,貨物自動車運送事業等,11760,182,152,30,303,業務員【中部地区・3級地】,,110,173000,0.00,80.00,なし,その他（県外）,東福山,,,1,県外、春日井市,"技能（その他）",721-8555,広島県福山市東深津4-20-1,人事部人事課,小山・小野,0120-292-286,084-931-4865,240131　福山通運　株式会社　業務員【中部地区・３級地】
2307-912707-4,23070-113359,愛知県,2307,831,50,1,250095,医療法人　並木会　介護老人保健施設　メディコ阿久比,ナミキカイ　カイゴロウジンホゴシセツ,470-2211,愛知県知多郡阿久比町草木盗人ヶ脇15番の1,老人保護法に定める老人の看護、介護リハビリ等の身の回りのお世話をする仕事,779,180,40,140,0,介護職員,,109,139000,4.20,58.00,シフト,名鉄河和線,坂部,,,1,阿久比町,介護,470-2211,愛知県知多郡阿久比町草木盗人ヶ脇15番の1,事務長,佐治　浩功,0569-48-1156,0569-48-1055,230270　医療法人　並木会　介護老人保健施設　メディコ阿久比　介護職員
2302-111806-5,23020-302459,愛知県,2302,541,40,1,250096,中西電機工業　株式会社,ナカニシデンキコウギョウ,460-0014,名古屋市中区富士見町9-1,オートメーション部品・電子部品・重電機器の販売,326,37,16,21,0.99,営業事務職(南ショールーム),,121,200000,4.49,0.00,なし,名鉄常滑線,名和,,1,,豊田市,事務,460-0014,名古屋市中区富士見町9-1,総務部　部長,田中　義人,052-332-5221,052-332-5550,230331　中西電機工業　株式会社　営業事務職(南ショールーム)
2307-202129-6,23070-227859,愛知県,2307,442,95,3,250097,東山物流株式会社,トウザンブツリュウ,476-0002,愛知県東海市名和町汐田西1-1,一般貨物自動車運送事業、貨物運送取扱事業、情報処理サービス業,250,250,245,5,0.6,自動車部品を扱う物流倉庫の作業スタッフ（名古屋・東海）,,117,161994,4.00,0.00,なし,名鉄常滑線,名和,,,1,東海市、名古屋市港区,"技能（検査・管理）",459-8001,愛知県名古屋市緑区大高町字二番割２３番地１,総務部　人事グループ,宮下　亮平,052-625-0145,052-625-0190,240338　東山物流株式会社　物流管理スタッフ（名和デポ）
2307-205885-0,23070-567859,愛知県,2307,390,45,4,250098,中部国際空港旅客サービス　株式会社,チュウブコクサイクウコウリョキャクサービス,479-8704,愛知県常滑市セントレア1-1　第2セントレアビル3階,直営する商業店舗の直営業務の接客販売業務、中部国際空港利用者の案内業務、外貨両替の接客業務,484,484,92,392,0.5,空港内店舗での販売職,,120,204000,4.00,0.00,シフト,名鉄空港線,中部国際空港,,,2,常滑市,接客・販売,479-8704,愛知県常滑市セントレア1-1　第2セントレアビル3階,総務部　人材開発グループ,市川健司・加藤孝太,0569-38-7116,0569-38-7117,240120　中部国際空港旅客サービス　株式会社　空港内店舗での販売職
2311-406084-7,23110-184559,愛知県,2311,912,34,1,250099,株式会社　アイシン・コラボ,アイシン・コラボ,448-8650,愛知県刈谷市昭和町２丁目３番地,"人材紹介や警備などのソリューションサービス",941,378,181,197,0.3,一般事務,,121,186000,5.20,0.00,なし,JR東海道本線,刈谷,,1,,刈谷市,事務,448-8650,愛知県刈谷市昭和町２丁目３番地,経営企画管理部　部長,杉浦　公彦,0566-24-4032,050-3155-5221,240244　株式会社　アイシン・コラボ　一般事務
2307-202289-7,23070-286859,愛知県,2307,854,50,1,250100,社会福祉法人　知多学園,チタガクエン,479-0806,愛知県常滑市大谷鴨80-18,児童施設と高齢施設を展開,687,186,54,132,3.56,介護職員,,107,160400,3.00,0.00,シフト,名鉄常滑線,常滑,,,1,常滑市、半田市、知多市,介護,479-0806,愛知県常滑市大谷字鴨80-18,人材育成統括,平野　勝志,0569-36-7770,0569-35-6683,240114　社会福祉法人　知多学園　介護職員
2307-205499-4,23070-139359,愛知県,2307,311,71,2,250101,株式会社　コデラダイナックス,コデラダイナックス,470-2531,愛知県知多郡武豊町富貴高代6-6,金属プレス加工・樹脂成型加工による自動車部品製造及び金型設計・制作、電子機器組立,172,172,131,41,0.69,"技能職",,112,183000,2.90,0.00,なし,名鉄河和線,富貴,,,1,武豊町,"技能（機械、製造、技術）",470-2531,愛知県知多郡武豊町富貴高代6-6,総務部総務課　課長,大平　洋一,0569-72-7591,0569-72-7592,"240129　株式会社　コデラダイナックス　技能職"
2311-400298-9,23110-522559,愛知県,2311,311,71,7,250102,福富金属　株式会社,フクトミキンゾク,474-0001,愛知県大府市北崎町井田１８８番地,三菱自動車、トヨタ自動車等の小物部品を、プレス自動ラインで加工、溶接組立,98,84,67,17,0.23,"技能工",,121,179500,3.35,0.00,2交代,JR東海道本線,共和,,,1,大府市,"技能（機械、製造、技術）",474-0001,愛知県大府市北崎町井田１８８番地,取締役　総務グループ　グループ長,安井　基真,0562-46-3321,0562-48-0570,"240064　福富金属　株式会社　技能工"
1401-625802-9,14010-894759,神奈川県,1401,106,7,99,250103,フィード・ワン　株式会社,フィード・ワン,220-0012,神奈川県横浜市西区みなとみらい5丁目1-2　横浜シンフォステージ　ウエストタワー,配合飼料の製造・販売、畜水産物の仕入れ・販売・生産・加工等,633,29,24,5,100,飼料の製造・出荷業務、機械のオペレーター（名古屋工場）,,122,211000,6.12,0.00,シフト,名鉄常滑線,柴田,,,1,名古屋市港区,"技能（機械、製造、技術）",220-0012,横浜市西区みなとみらい五丁目1-2　横浜シンフォステージ　ウエストタワー,管理本部　人事部　主任,川畑　想乃華,045-211-6524,045-211-6510,240030　フィード・ワン　株式会社　飼料の製造・出荷業務、機械のオペレーター
1401-625802-9,14010-895659,神奈川県,1401,106,7,99,250104,フィード・ワン　株式会社,フィード・ワン,220-0012,神奈川県横浜市西区みなとみらい5丁目1-2　横浜シンフォステージ　ウエストタワー,配合飼料の製造・販売、畜水産物の仕入れ・販売・生産・加工等,633,29,24,5,100,飼料の製造・出荷業務、機械のオペレーター（名古屋工場）,,122,206000,6.12,0.00,シフト,名鉄常滑線,柴田,,,1,名古屋市港区,"技能（機械、製造、技術）",220-0012,横浜市西区みなとみらい五丁目1-2　横浜シンフォステージ　ウエストタワー,管理本部　人事部　主任,川畑　想乃華,045-211-6524,045-211-6510,240030　フィード・ワン　株式会社　飼料の製造・出荷業務、機械のオペレーター
1401-625802-9,14010-896959,神奈川県,1401,106,7,99,250105,フィード・ワン　株式会社,フィード・ワン,220-0012,神奈川県横浜市西区みなとみらい5丁目1-2　横浜シンフォステージ　ウエストタワー,配合飼料の製造・販売、畜水産物の仕入れ・販売・生産・加工等,633,38,32,6,100,飼料の製造・出荷業務、機械のオペレーター（知多工場）,,122,211000,6.12,0.00,シフト,名鉄常滑線,古見,,,1,知多市,"技能（機械、製造、技術）",220-0012,横浜市西区みなとみらい五丁目1-2　横浜シンフォステージ　ウエストタワー,管理本部　人事部　主任,川畑　想乃華,045-211-6524,045-211-6510,240029　フィード・ワン　株式会社　飼料の製造・出荷業務、機械のオペレーター
1401-625802-9,14010-898059,神奈川県,1401,106,7,99,250106,フィード・ワン　株式会社,フィード・ワン,220-0012,神奈川県横浜市西区みなとみらい5丁目1-2　横浜シンフォステージ　ウエストタワー,配合飼料の製造・販売、畜水産物の仕入れ・販売・生産・加工等,633,38,32,6,100,飼料の製造・出荷業務、機械のオペレーター（知多工場）,,122,206000,6.12,0.00,シフト,名鉄常滑線,古見,,,1,知多市,"技能（機械、製造、技術）",220-0012,横浜市西区みなとみらい五丁目1-2　横浜シンフォステージ　ウエストタワー,管理本部　人事部　主任,川畑　想乃華,045-211-6524,045-211-6510,240029　フィード・ワン　株式会社　飼料の製造・出荷業務、機械のオペレーター
2311-189366-6,23110-145759,愛知県,2311,311,74,11,250107,株式会社　名張製作所,ナバリセイサクショ,474-0057,愛知県大府市共和町壱ツ田２５－１,カーエアコン用コンプレッサの製造、電子機器開発及び販売,361,360,289,71,0.96,"技能工",,121,185500,4.70,0.00,2交代,JR東海道本線,南大高,,,3,大府市,"技能（機械、製造、技術）",474-0057,愛知県大府市共和町壱ツ田２５－１,取締役コーポレート部門統括,池田　昭宏,0562-47-1451,0562-47-1584,"240123　株式会社　名張製作所　技能工"
2303-71458-6,23030-522559,愛知県,2303,253,74,12,250108,株式会社　テックササキ,テックササキ,456-0031,名古屋市熱田区神宮四丁目9-21,"天井クレーン等搬送設備の設計、空気調和設備・給排水衛生設備の設計、航空機構造組立など",400,150,140,10,1,天井クレーンの製造,,125,201100,4.00,0.00,なし,名鉄築港線,東名古屋港,,,1,名古屋市港区,"技能（機械、製造、技術）",456-0031,名古屋市熱田区神宮四丁目9-21,総務部　次長,片岡　直人,052-678-7811,052-678-7822,240111　株式会社　テックササキ　天井クレーンの製造
2303-71458-6,23030-520159,愛知県,2303,253,75,1,250109,株式会社　テックササキ,テックササキ,456-0031,名古屋市熱田区神宮四丁目９－２１,"天井クレーン等搬送設備の設計、空気調和設備・給排水衛生設備の設計、航空機構造組立など",400,150,140,10,1,エアーコンプレッサの保守点検・修理,,125,201100,4.00,0.00,なし,名鉄築港線,東名古屋港,,,1,名古屋市港区,"技能（機械、製造、技術）",456-0031,名古屋市熱田区神宮四丁目９－２１,総務部　次長,片岡　直人,052-678-7811,052-678-7822,240112　株式会社　テックササキ　エアーコンプレッサの保守点検・修理
2303-71458-6,23030-515459,愛知県,2303,253,74,12,250110,株式会社　テックササキ,テックササキ,456-0031,名古屋市熱田区神宮四丁目９－２１,"天井クレーン等搬送設備の設計、空気調和設備・給排水衛生設備の設計、航空機構造組立など",400,60,45,15,1,航空機の組立,,125,185100,4.00,0.00,なし,地下鉄名城線,伝馬町,,,1,名古屋市熱田区、名古屋市港区、半田市,"技能（機械、製造、技術）",456-0031,名古屋市熱田区神宮四丁目９－２１,総務部　次長,片岡　直人,052-678-7811,052-678-7822,240113　株式会社　テックササキ　航空機の組立
2303-71458-6,23030-521259,愛知県,2303,253,75,4,250111,株式会社　テックササキ,テックササキ,456-0031,名古屋市熱田区神宮四丁目９－２１,"天井クレーン等搬送設備の設計、空気調和設備・給排水衛生設備の設計、航空機構造組立など",400,150,140,10,1,天井クレーンの保守点検・修理,,125,201100,2.50,0.00,なし,名鉄築港線,東名古屋港,,,1,名古屋市港区,"技能（その他）",456-0031,名古屋市熱田区神宮四丁目９－２１,総務部　次長,片岡　直人,052-678-7811,052-678-7822,240112　株式会社　テックササキ　エアーコンプレッサの保守点検・修理
2307-188229-4,23070-129859,愛知県,2307,61,40,1,250112,株式会社　日東土木,ニットウドボク,476-0013,愛知県東海市中央町5-24,土木、水道施設、建築、造園等工事及び付帯する一切の工事,25,24,20,4,0.32,事務員,,123,190000,0.00,40.00,なし,名鉄常滑線,太田川,1,,,東海市,事務,476-0013,愛知県東海市中央町5-24,管理部長,杉浦　憲司,052-603-2501,052-603-2504,240137　株式会社　日東土木　事務員
2307-188229-4,23070-128959,愛知県,2307,61,8,5,250113,株式会社　日東土木,ニットウドボク,476-0013,愛知県東海市中央町5-24,土木、水道施設、建築、造園等工事及び付帯する一切の工事,25,24,20,4,0.32,工事監理監督員（土木・上下水道工事）,,123,190000,0.00,40.00,なし,名鉄常滑線,太田川,1,,,東海市,"技能（検査・管理）",476-0013,愛知県東海市中央町5-24,管理部長,杉浦　憲司,052-603-2501,052-603-2504,240138　株式会社　日東土木　工事監理監督員（土木・上下水道工事）
2307-204510-2,23070-34159,愛知県,2307,74,91,2,250114,エヌシー　株式会社,エヌシー,477-0035,愛知県東海市元浜町39　大同特殊鋼(株)知多工場内,製鋼用耐火物管理、築造、補修、解体,75,60,59,1,0.1,"工場炉の築炉技能職",,119,179000,3.00,120.00,2交代,名鉄常滑線,尾張横須賀,1,,,東海市,"技能（機械、製造、技術）",478-0051,愛知県知多市朝倉町180,人事部長,福山　典男,0562-33-5753,0562-33-6583,240171　エヌシー　株式会社　築炉工
2302-11191-6,23020-1343559,愛知県,2302,97,45,4,250115,株式会社　両口屋是清,リョウグチヤコレキヨ,460-0002,名古屋市中区丸の内3丁目14-23,和菓子製造販売,295,74,16,58,1,販売職／名古屋市,,110,200090,3.50,0.00,シフト,地下鉄桜通線,丸の内,,1,,名古屋市中区,接客・販売,460-0002,名古屋市中区丸の内3丁目14-23,係長,中山　剛宏,052-961-6815,052-961-5276,240141　株式会社　両口屋是清　販売職／名古屋市
2307-205751-5,23070-312759,愛知県,2307,245,7,7,250116,大和興業　株式会社,ダイワコウギョウ,476-0006,愛知県東海市浅山一丁目１０８番地,各種特殊帯鋼のスリット等加工ならびに販売,55,39,36,3,0.1,技術スタッフ（鋼材加工・溶接工のオペレーター業務）,,115,179000,5.10,0.00,シフト,名鉄常滑線,聚楽園,1,,,東海市,"技能（機械、製造、技術）",476-0006,愛知県東海市浅山一丁目１０８番地,総務部,桑原　一晶,052-689-0025,052-689-0017,240124　大和興業　株式会社　技術スタッフ（鋼材加工・溶接工のオペレーター業務）
2302-226859-1,23020-1224959,愛知県,2302,562,45,4,250117,イオンリテール　株式会社　中部カンパニー名古屋事務所,イオンリテール　チュウブカンパニーナゴヤジムショ,450-0002,名古屋市中村区名駅５丁目２５番１号　愛三ビル,総合流通業・チェーンストアの経営,110182,300,77,223,1,接客販売（中部エリア）,,125,209000,4.00,0.00,シフト,JR東海道本線,名古屋,,,2,名古屋市熱田区、岡崎市、県外,接客・販売,450-0002,名古屋市中村区名駅５丁目２５番１号　愛三ビル,人事総務部　人事グループ,小林　青佳,052-589-0742,052-589-0740
2302-226859-1,23020-1221459,愛知県,2302,562,45,4,250118,イオンリテール　株式会社　中部カンパニー名古屋事務所,イオンリテール　チュウブカンパニーナゴヤジムショ,450-0002,名古屋市中村区名駅５丁目２５番１号　愛三ビル,総合流通業・チェーンストアの経営,110182,300,77,223,1,接客販売（愛知）,,125,184000,3.00,0.00,シフト,JR東海道本線,名古屋,,,5,岡崎市、春日井市、名古屋市東区,接客・販売,450-0002,名古屋市中村区名駅５丁目２５番１号　愛三ビル,人事総務部　人事グループ,小林　青佳,052-589-0742,052-589-0740,240234　イオンリテール　株式会社　東海カンパニー名古屋事務所　接客販売（愛知）
2307-204495-1,23070-561259,愛知県,2307,391,9,3,250119,有限会社　シード,シード,476-0011,愛知県東海市富木島町峰畑29-54,"情報処理系ソフトウェア設計開発など、制御系のコンピュータ制御ソフトウェアの設計開発。",22,22,19,3,0.03,プログラマー,,115,185000,5.00,0.00,なし,名鉄常滑線,太田川,1,,,東海市,"技能（システム、プログラマ）",476-0011,愛知県東海市富木島町峰畑29-54,"制御ソフト開発部",井上　佐紀,0562-39-3330,0562-39-3337,240009　有限会社　シード　プログラマー
2307-204495-1,23070-560159,愛知県,2307,391,34,1,250120,有限会社　シード,シード,476-0011,愛知県東海市富木島町峰畑29-54,"情報処理系ソフトウェア設計開発など、制御系のコンピュータ制御ソフトウェアの設計開発。",22,22,19,3,0.03,事務一般,,115,185000,5.00,0.00,なし,名鉄常滑線,太田川,,,1,東海市,事務,476-0011,愛知県東海市富木島町峰畑29-54,"制御ソフト開発部",井上　佐紀,0562-39-3330,0562-39-3337,240008　有限会社　シード　事務一般
2302-21039-1,23020-788459,愛知県,2302,223,76,1,250121,宮崎精鋼　株式会社,ミヤザキセイコウ,477-0035,愛知県東海市元浜町12,主として自動車部品向け中間素材の製造・販売,286,158,138,20,1.47,検査,,122,215700,4.00,0.00,2交代,名鉄常滑線,尾張横須賀,,,1,東海市,"技能（検査・管理）",454-8521,名古屋市中川区丸米町1-1,総務部　総務人事課　課長,久保　友樹,052-361-2191,052-361-3045
2302-21039-1,23020-795559,愛知県,2302,223,67,99,250122,宮崎精鋼　株式会社,ミヤザキセイコウ,477-0035,愛知県東海市元浜町12,主として自動車部品向け中間素材の製造・販売,286,158,138,20,1.47,機械オペレーター【特殊鋼を加工する機械の稼働や準備、保全など】,,122,215700,4.00,0.00,2交代,名鉄常滑線,尾張横須賀,1,,,東海市,"技能（機械、製造、技術）",454-8521,名古屋市中川区丸米町1-1,総務部　総務人事課　課長,久保　友樹,052-361-2191,052-361-3045,240100　宮崎精鋼　株式会社　知多工場（東海市）の技術職【特殊鋼を加工する機械の稼働や準備、保全など】
2302-21039-1,23020-782859,愛知県,2302,223,67,99,250123,宮崎精鋼　株式会社,ミヤザキセイコウ,477-0035,愛知県東海市元浜町12,主として自動車部品向け中間素材の製造・販売,286,158,138,20,1.47,熱処理炉オペレーター【特殊鋼を加工する機械の稼働や準備、保全など】,,122,215700,4.00,0.00,3交代,名鉄常滑線,尾張横須賀,1,,,東海市,"技能（検査・管理）",454-8521,名古屋市中川区丸米町1-1,総務部　総務人事課　課長,久保　友樹,052-361-2191,052-361-3045,220046　宮崎精鋼　株式会社　技術職（熱処理炉オペレーター）（知多工場）
2307-180014-4,23070-183559,愛知県,2307,217,73,2,250124,"株式会社　ニ―トレックス本社","ニ―トレックス　ホンシャ",470-2343,愛知県知多郡武豊町字小迎184,工業用研削砥石、研削材料、ダイヤモンドホイール、CBNホイール、関連機械の製造、販売,265,185,150,35,1.9,技術職,,120,205375,4.00,0.00,なし,JR武豊線,武豊,,,1,武豊町,"技能（機械、製造、技術）",470-2343,愛知県知多郡武豊町字小迎184,総務室　室長,松下　俊治,0569-72-0551,0569-73-3451,"240142　株式会社　ニ―トレックス本社　技術職"
2307-180996-7,23070-194659,愛知県,2307,441,33,1,250125,知多埠頭　株式会社,チタフトウ　カブシキガイシャ,478-0046,知多市北浜町24番地の66,米国等からの輸入穀物の保管,27,27,19,8,6,事務職（総務・人事・システム管理・倉庫管理・受発注管理）,,122,190000,6.40,0.00,なし,名鉄常滑線,朝倉,,,1,知多市,事務,478-0046,愛知県知多市北浜町24番地の66,業務管理部　部長,永井　政幸,0562-54-0030,0562-54-0031
2307-620606-2,23070-292659,愛知県,2307,131,73,99,250126,アイコ　株式会社,アイコ,478-0001,愛知県知多市八幡浦浜1-48,業務用家具の製造・販売,37,37,27,10,0.6,製造技術職,,123,223000,1.50,0.00,なし,名鉄常滑線,寺本,,,1,知多市,"技能（機械、製造、技術）",478-0001,愛知県知多市八幡浦浜1-48,総務課,山田・森,0562-75-0011,0562-75-0022
2301-51266-9,23010-146359,愛知県,2301,562,45,1,250127,株式会社　フィールコーポレーション,フィールコーポレーション,466-0064,名古屋市昭和区鶴舞2-21-6,生鮮食料品を中心とした食品スーパーマーケット,8506,100,20,80,0.5,接客販売職,,107,210000,0.00,60.00,なし,地下鉄鶴舞線,鶴舞,,,1,名古屋市中村区、名古屋市中川区、名古屋市瑞穂区,接客・販売,466-0064,名古屋市昭和区鶴舞2-21-6,人事部,吉田　寛,052-872-2116,052-881-6471,240010　株式会社　フィールコーポレーション　接客販売職
2310-290883-4,23100-244159,愛知県,2310,222,71,13,250128,東海鋼材工業　株式会社,トウカイコウザイコウギョウ,490-1445,愛知県海部郡飛島村金岡４７,鋼板精密溶断、亜鉛めっき加工、ポール製品製作,235,235,212,23,1.5,"技能職",,120,191000,4.50,0.00,2交代,名鉄常滑線,新舞子,,,1,知多市、飛島村,"技能（機械、製造、技術）",490-1445,愛知県海部郡飛島村金岡４７,人事グループ,日比野／衣川,0567-55-1481,0567-55-1480,"240238　東海鋼材工業　株式会社　技能職"
2102-4322-5,21020-155159,岐阜県,2102,219,73,2,250129,矢橋工業　株式会社,ヤバシコウギョウ,476-0015,愛知県東海市東海町5-3,カルシウムの総合メーカー,196,36,34,2,1,製造技術職（東海市・交替制）,,108,200000,4.50,0.00,3交代,名鉄常滑線,新日鉄前,1,,,東海市,"技能（機械、製造、技術）",503-2213,岐阜県大垣市赤坂町226,管理部　次長,清水　一昭,0584-71-1105,0584-71-2989,240143　矢橋工業　株式会社　製造技術職（東海市・交替制）
2307-205874-2,23070-120059,愛知県,2307,482,95,3,250130,ＪＦＥ物流中部　株式会社,ジェイエフイーブツリュウチュウブ,475-8611,半田市川崎町1-1,貨物運送取扱事業,227,176,158,18,0.1,"技能職",,119,215000,4.65,0.00,なし,JR武豊線,東成岩,1,,,半田市,"技能（機械、製造、技術）",475-8611,愛知県半田市川崎町1-1,人事室　室長,大鋸　智恵子,0569-24-2767,0569-24-2852,"240135　ＪＦＥ物流中部　株式会社　技能職"
2307-188700-0,23070-513559,愛知県,2307,531,82,2,250131,チタジュウ建材　株式会社,チタジュウケンザイ,477-0032,愛知県東海市加木屋町樋61-3,建築資材卸売業、不動産業、建設業,26,25,18,7,0.2,配送工事スタッフ（建築に伴う材料の現場配達・工事）,,110,192100,1.60,0.00,なし,名鉄河和線,高横須賀,1,,,東海市,"技能（その他）",477-0032,愛知県東海市加木屋町樋61-3,採用担当,前田　珠希,0562-33-6266,0562-57-2027,240002　チタジュウ建材　株式会社　配送ドライバー（建築に伴う材料をお客様へ届ける仕事）
2307-188700-0,23070-515759,愛知県,2307,531,8,2,250132,チタジュウ建材　株式会社,チタジュウケンザイ,477-0032,愛知県東海市加木屋町樋61-3,建築資材卸売業、不動産業、建設業,26,25,18,7,0.2,施工管理職（建築現場の監督サポート）,,110,192100,1.60,0.00,なし,名鉄河和線,高横須賀,1,,,東海市,"技能（検査・管理）",477-0032,愛知県東海市加木屋町樋61-3,採用担当,前田　珠希,0562-33-6266,0562-57-2027
2307-181744-0,23070-155359,愛知県,2307,871,34,1,250133,野間漁業協同組合,ノマギョギョウキョウドウクミアイ,470-3233,愛知県知多郡美浜町奥田南大西５０,乾のり受託販売、水産加工品販売、水産関係資材販売,4,4,3,1,0.6,事務及び接客、他軽作業,,120,202700,4.80,0.00,なし,名鉄知多新線,野間,1,,,美浜町,事務,470-3233,愛知県知多郡美浜町奥田南大西５０,参事,山田　忠行,0569-87-0008,0569-87-2391
2301-490302-9,23010-696059,愛知県,2301,91,34,1,250134,名古屋製酪　株式会社,ナゴヤセイラク,468-8588,名古屋市天白区中砂町３１０,スジャータなどの調理加工食品・洋菓子等の製造及び販売,2523,265,217,48,1.8,一般事務職（大府市）,,120,196000,3.71,0.00,なし,JR東海道本線,共和,,1,,大府市,事務,468-8588,名古屋市天白区中砂町３１０,人事採用担当　係長,落合　大,052-836-4326,052-834-0181,230282　名古屋製酪　株式会社　一般事務職（大府）
2307-170023-2,23070-432259,愛知県,2307,244,73,2,250135,ジャニス工業　株式会社,ジャニスコウギョウ,479-8577,愛知県常滑市唐崎町２丁目８８番地,衛生機器（トイレ・洗面化粧台）の製造・販売,194,78,61,17,10,技術職,,115,182600,3.20,0.00,なし,名鉄空港線,常滑,,,1,常滑市,"技能（機械、製造、技術）",479-8577,愛知県常滑市唐崎町２丁目８８番地,経営管理課長,峯松　幹正,0569-35-3150,0569-34-8166,240237　ジャニス工業　株式会社　技術職
2307-915486-6,23070-107159,愛知県,2307,311,73,99,250136,宝和化学　株式会社　知多工場,ホウワカガク　チタコウジョウ,478-0069,愛知県知多市新刀池2-32-1,自動車内装品製造・インテリア家具製造、合成樹脂加工、住生活関連機器の製造,100,98,33,65,0.5,製造現場職,,110,190000,2.00,0.00,なし,名鉄常滑線,新舞子,,,2,知多市,"技能（機械、製造、技術）",478-0069,愛知県知多市新刀池2-32-1,管理部　採用担当,中村　結衣,052-651-1238,052-651-1238,240086　宝和化学　株式会社　知多工場　製造現場職
2307-915486-6,23070-108259,愛知県,2307,311,74,2,250137,宝和化学　株式会社　知多工場,ホウワカガク　チタコウジョウ,478-0069,愛知県知多市新刀池2-32-1,自動車内装品製造・インテリア家具製造、合成樹脂加工、住生活関連機器の製造,100,98,33,65,0.5,生産技術職,,110,190000,2.00,0.00,なし,名鉄常滑線,新舞子,,,1,知多市,"技能（機械、製造、技術）",478-0069,愛知県知多市新刀池2-32-1,管理部　採用担当,中村　結衣,052-651-1238,052-651-1238,240087　宝和化学　株式会社　知多工場　生産技術職
